<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SPFB.Si,1,20220601,134400,61812,61821,61806,61812,2157
SPFB.Si,1,20220601,134500,61808,61826,61801,61818,2972
SPFB.Si,1,20220601,134600,61819,61830,61801,61828,2207
SPFB.Si,1,20220601,134700,61827,61827,61800,61800,6154
SPFB.Si,1,20220601,134800,61800,61809,61750,61760,9384
SPFB.Si,1,20220601,134900,61755,61828,61750,61782,3115
SPFB.Si,1,20220601,135000,61781,61800,61758,61775,1794
SPFB.Si,1,20220601,135100,61776,61776,61708,61723,5086
SPFB.Si,1,20220601,135200,61724,61724,61670,61699,7003
SPFB.Si,1,20220601,135300,61703,61730,61670,61724,3658
SPFB.Si,1,20220601,135400,61724,61786,61708,61763,5034
SPFB.Si,1,20220601,135500,61763,61788,61752,61766,1859
SPFB.Si,1,20220601,135600,61766,61820,61750,61810,3794
SPFB.Si,1,20220601,135700,61809,61832,61799,61816,2022
SPFB.Si,1,20220601,135800,61816,61869,61801,61818,4185
SPFB.Si,1,20220601,135900,61822,61930,61816,61916,3684
SPFB.Si,1,20220601,140000,61918,62086,61893,62049,10879
SPFB.Si,1,20220601,140600,62030,62030,61835,61884,8589
SPFB.Si,1,20220601,140700,61882,61884,61810,61824,5208
SPFB.Si,1,20220601,140800,61822,61868,61808,61866,3951
SPFB.Si,1,20220601,140900,61863,61870,61823,61848,2343
SPFB.Si,1,20220601,141000,61847,61855,61839,61841,173
SPFB.Si,1,20220601,141100,61842,61962,61842,61953,5628
SPFB.Si,1,20220601,141200,61952,62050,61923,62042,6031
SPFB.Si,1,20220601,141300,62042,62185,62031,62155,11627
SPFB.Si,1,20220601,141400,62161,62400,62152,62240,20484
SPFB.Si,1,20220601,141500,62238,62327,62210,62255,9080
SPFB.Si,1,20220601,141600,62256,62267,62170,62248,6085
SPFB.Si,1,20220601,141700,62254,62300,62220,62234,2750
SPFB.Si,1,20220601,141800,62234,62239,62159,62189,5765
SPFB.Si,1,20220601,141900,62186,62289,62186,62236,5158
SPFB.Si,1,20220601,142000,62240,62265,62175,62205,4529
SPFB.Si,1,20220601,142100,62209,62214,62115,62150,4177
SPFB.Si,1,20220601,142200,62152,62203,62144,62199,3634
SPFB.Si,1,20220601,142300,62199,62239,62172,62210,3608
SPFB.Si,1,20220601,142400,62209,62217,62180,62200,2064
SPFB.Si,1,20220601,142500,62196,62208,62126,62126,2316
SPFB.Si,1,20220601,142600,62127,62174,62097,62132,4456
SPFB.Si,1,20220601,142700,62134,62138,62079,62080,2694
SPFB.Si,1,20220601,142800,62080,62113,62041,62104,4849
SPFB.Si,1,20220601,142900,62106,62128,62066,62090,2594
SPFB.Si,1,20220601,143000,62090,62100,62041,62061,2325
SPFB.Si,1,20220601,143100,62060,62117,62047,62117,2997
SPFB.Si,1,20220601,143200,62117,62178,62114,62159,3568
SPFB.Si,1,20220601,143300,62160,62160,62120,62124,1064
SPFB.Si,1,20220601,143400,62127,62143,62119,62121,939
SPFB.Si,1,20220601,143500,62121,62126,62100,62124,1699
SPFB.Si,1,20220601,143600,62123,62136,62100,62136,1630
SPFB.Si,1,20220601,143700,62134,62220,62130,62171,4772
SPFB.Si,1,20220601,143800,62164,62196,62148,62165,1987
SPFB.Si,1,20220601,143900,62163,62166,62122,62160,1245
SPFB.Si,1,20220601,144000,62158,62164,62149,62150,880
SPFB.Si,1,20220601,144100,62150,62166,62149,62151,766
SPFB.Si,1,20220601,144200,62151,62160,62149,62153,553
SPFB.Si,1,20220601,144300,62150,62220,62149,62211,2074
SPFB.Si,1,20220601,144400,62208,62217,62155,62173,1601
SPFB.Si,1,20220601,144500,62172,62181,62171,62179,336
SPFB.Si,1,20220601,144600,62180,62195,62076,62083,3357
SPFB.Si,1,20220601,144700,62082,62145,62072,62099,2371
SPFB.Si,1,20220601,144800,62099,62099,62060,62084,1601
SPFB.Si,1,20220601,144900,62081,62105,62072,62088,1092
SPFB.Si,1,20220601,145000,62082,62100,62081,62093,412
SPFB.Si,1,20220601,145100,62090,62093,62061,62081,1494
SPFB.Si,1,20220601,145200,62081,62090,62013,62031,3827
SPFB.Si,1,20220601,145300,62031,62064,62015,62045,2056
SPFB.Si,1,20220601,145400,62041,62077,62033,62073,1385
SPFB.Si,1,20220601,145500,62068,62084,62029,62051,904
SPFB.Si,1,20220601,145600,62052,62057,62008,62010,1546
SPFB.Si,1,20220601,145700,62009,62043,61966,62008,4197
SPFB.Si,1,20220601,145800,62006,62089,62000,62079,2225
SPFB.Si,1,20220601,145900,62073,62089,62050,62050,1209
SPFB.Si,1,20220601,150000,62050,62065,62021,62048,1126
SPFB.Si,1,20220601,150100,62048,62142,62045,62118,3759
SPFB.Si,1,20220601,150200,62122,62122,62070,62093,1340
SPFB.Si,1,20220601,150300,62093,62100,62071,62088,887
SPFB.Si,1,20220601,150400,62085,62093,62064,62075,583
SPFB.Si,1,20220601,150500,62079,62123,62075,62122,1718
SPFB.Si,1,20220601,150600,62122,62128,62075,62077,1188
SPFB.Si,1,20220601,150700,62076,62131,62075,62109,979
SPFB.Si,1,20220601,150800,62107,62167,62069,62072,3024
SPFB.Si,1,20220601,150900,62072,62115,62050,62053,1315
SPFB.Si,1,20220601,151000,62056,62098,62050,62086,1372
SPFB.Si,1,20220601,151100,62085,62086,61997,62005,2665
SPFB.Si,1,20220601,151200,62005,62033,61970,61971,5117
SPFB.Si,1,20220601,151300,61974,62001,61913,61996,6031
SPFB.Si,1,20220601,151400,61996,62045,61986,62025,1965
SPFB.Si,1,20220601,151500,62026,62035,61950,61969,1776
SPFB.Si,1,20220601,151600,61971,61972,61909,61909,2402
SPFB.Si,1,20220601,151700,61909,61998,61906,61953,3387
SPFB.Si,1,20220601,151800,61952,61999,61932,61950,3483
SPFB.Si,1,20220601,151900,61950,61973,61950,61959,1683
SPFB.Si,1,20220601,152000,61953,61988,61950,61959,1953
SPFB.Si,1,20220601,152100,61964,61979,61950,61956,2094
SPFB.Si,1,20220601,152200,61956,61968,61950,61956,1780
SPFB.Si,1,20220601,152300,61956,61962,61911,61911,5170
SPFB.Si,1,20220601,152400,61915,61929,61877,61909,4489
